Profile Name;Start Time;Duration;Attributes;Title;Supplemental Video Type;Device Type;Bookmark;Latest Bookmark;Country
Charlie;20/3/2013 05:17;00:00:05;;Star Trek: Deep Space Nine: Season 5: Empok Nor (Episode 24);;Mac;00:00:05;Not latest view;US (United States)
Charlie;20/3/2013 04:27;00:44:31;;Star Trek: Deep Space Nine: Season 5: Blaze of Glory (Episode 23);;Mac;00:44:31;Not latest view;US (United States)
Charlie;20/3/2013 04:05;00:22:06;;Star Trek: Deep Space Nine: Season 5: Children of Time (Episode 22);;Mac;00:44:37;0:44:37;US (United States)
Charlie;20/3/2013 00:20;00:48:14;;The Invisible War;;Microsoft Xbox 360;00:53:18;0:53:18;US (United States)
Charlie;20/3/2013 00:10;00:04:51;;The Invisible War;;Mac;00:05:01;Not latest view;US (United States)
Charlie;19/3/2013 22:34;00:22:29;;Star Trek: Deep Space Nine: Season 5: Children of Time (Episode 22);;Mac;00:22:31;Not latest view;US (United States)
Charlie;19/3/2013 05:07;00:33:10;;Star Trek: Deep Space Nine: Season 5: Soldiers of the Empire (Episode 21);;Mac;00:44:42;0:44:42;US (United States)
Charlie;18/3/2013 23:57;00:11:36;;Star Trek: Deep Space Nine: Season 5: Soldiers of the Empire (Episode 21);;Mac;00:11:36;Not latest view;US (United States)
Charlie;18/3/2013 23:26;00:31:32;;Star Trek: Deep Space Nine: Season 5: Ferengi Love Songs (Episode 20);;Mac;00:44:30;0:44:30;US (United States)
Charlie;18/3/2013 23:25;00:00:02;;The Office (U.S.): Season 5: The Duel (Episode 12);;Mac;00:00:01;Not latest view;US (United States)
Charlie;18/3/2013 23:04;00:21:07;;The Office (U.S.): Season 5: Moroccan Christmas (Episode 11);;Mac;00:21:06;Not latest view;US (United States)
Charlie;18/3/2013 22:42;00:21:30;;The Office (U.S.): Season 5: The Surplus (Episode 10);;Mac;00:21:29;Not latest view;US (United States)
Charlie;18/3/2013 22:21;00:20:55;;The Office (U.S.): Season 5: Frame Toby (Episode 9);;Mac;00:20:55;Not latest view;US (United States)
Charlie;18/3/2013 22:20;00:00:55;;The Office (U.S.): Season 5: Business Trip (Episode 8);;Mac;00:21:09;Not latest view;US (United States)
Charlie;18/3/2013 20:29;00:20:15;;The Office (U.S.): Season 5: Business Trip (Episode 8);;Mac;00:20:17;Not latest view;US (United States)
Charlie;18/3/2013 20:07;00:21:21;;The Office (U.S.): Season 5: Customer Survey (Episode 7);;Mac;00:21:23;Not latest view;US (United States)
Charlie;18/3/2013 19:46;00:21:14;;The Office (U.S.): Season 5: Employee Transfer (Episode 6);;Mac;00:21:15;Not latest view;US (United States)
Charlie;18/3/2013 19:24;00:21:34;;The Office (U.S.): Season 5: Crime Aid (Episode 5);;Mac;00:21:36;Not latest view;US (United States)
Charlie;18/3/2013 18:20;00:21:12;;The Office (U.S.): Season 5: Baby Shower (Episode 4);;Mac;00:21:14;Not latest view;US (United States)
Charlie;18/3/2013 17:54;00:21:15;;The Office (U.S.): Season 5: Business Ethics (Episode 3);;Mac;00:21:16;Not latest view;US (United States)
Charlie;18/3/2013 17:36;00:15:50;;The Office (U.S.): Season 5: Weight Loss: Part 2 (Episode 2);;Mac;00:21:06;Not latest view;US (United States)
Charlie;18/3/2013 05:35;00:05:20;;The Office (U.S.): Season 5: Weight Loss: Part 2 (Episode 2);;Mac;00:05:20;Not latest view;US (United States)
Charlie;18/3/2013 05:00;00:21:02;;The Office (U.S.): Season 5: Weight Loss: Part 1 (Episode 1);;Mac;00:21:03;Not latest view;US (United States)
Charlie;18/3/2013 04:27;00:32:37;;The Office (U.S.): Season 4: Goodbye, Toby (Episode 14);;Mac;00:41:27;Not latest view;US (United States)
Charlie;17/3/2013 05:40;00:08:52;;The Office (U.S.): Season 4: Goodbye, Toby (Episode 14);;Mac;00:08:52;Not latest view;US (United States)
Charlie;17/3/2013 05:10;00:20:18;;The Office (U.S.): Season 4: Job Fair (Episode 13);;Mac;00:20:20;Not latest view;US (United States)
Charlie;17/3/2013 04:48;00:21:41;;The Office (U.S.): Season 4: Did I Stutter (Episode 12);;Mac;00:21:42;Not latest view;US (United States)
Charlie;17/3/2013 04:31;00:15:51;;The Office (U.S.): Season 4: Night Out (Episode 11);;Mac;00:20:48;Not latest view;US (United States)
Charlie;16/3/2013 20:14;00:04:59;;The Office (U.S.): Season 4: Night Out (Episode 11);;Mac;00:04:58;Not latest view;US (United States)
Charlie;16/3/2013 19:52;00:21:21;;The Office (U.S.): Season 4: The Chair Model (Episode 10);;Mac;00:21:20;Not latest view;US (United States)
Charlie;16/3/2013 19:31;00:21:54;;The Office (U.S.): Season 4: Dinner Party (Episode 9);;Mac;00:21:54;Not latest view;US (United States)
Charlie;16/3/2013 19:11;00:19:08;;The Office (U.S.): Season 4: The Deposition (Episode 8);;Mac;00:21:11;Not latest view;US (United States)
Charlie;16/3/2013 18:29;00:02:06;;The Office (U.S.): Season 4: The Deposition (Episode 8);;Apple iPhone 5 with CDMA;00:02:06;Not latest view;US (United States)
Charlie;16/3/2013 06:03;00:20:42;;The Office (U.S.): Season 4: Survivor Man (Episode 7);;Mac;00:20:43;Not latest view;US (United States)
Charlie;16/3/2013 05:40;00:21:10;;The Office (U.S.): Season 4: Local Ad (Episode 5);;Mac;00:21:11;Not latest view;US (United States)
Charlie;16/3/2013 04:59;00:41:32;;The Office (U.S.): Season 4: Money (Episode 4);;Mac;00:41:39;Not latest view;US (United States)
Charlie;16/3/2013 04:51;00:07:40;;The Office (U.S.): Season 4: Launch Party (Episode 3);;Mac;00:41:30;Not latest view;US (United States)
Charlie;16/3/2013 01:32;00:01:02;;The Office (U.S.): Season 4: Launch Party (Episode 3);;Mac;00:33:52;Not latest view;US (United States)
Charlie;16/3/2013 01:07;00:05:10;;The Office (U.S.): Season 4: Launch Party (Episode 3);;Mac;00:32:52;Not latest view;US (United States)
Charlie;16/3/2013 00:40;00:19:08;;Archer: Season 3: The Man from Jupiter (Episode 4);;Microsoft Xbox 360;00:19:08;Not latest view;US (United States)
Charlie;16/3/2013 00:20;00:19:30;;Archer: Season 3: Heart of Archness, Part 3 (Episode 3);;Microsoft Xbox 360;00:19:30;Not latest view;US (United States)
Charlie;16/3/2013 00:20;00:00:18;;Archer: Season 3: Heart of Archness, Part 2 (Episode 2);;Microsoft Xbox 360;00:00:17;Not latest view;US (United States)
Charlie;15/3/2013 23:50;00:27:43;;The Office (U.S.): Season 4: Launch Party (Episode 3);;Mac;00:27:45;Not latest view;US (United States)
Charlie;15/3/2013 23:40;00:10:01;;The Office (U.S.): Season 4: Dunder Mifflin Infinity (Episode 2);;Mac;00:41:39;Not latest view;US (United States)
Charlie;15/3/2013 21:11;00:11:48;;The Office (U.S.): Season 4: Dunder Mifflin Infinity (Episode 2);;Mac;00:31:38;Not latest view;US (United States)
Charlie;15/3/2013 19:40;00:19:52;;The Office (U.S.): Season 4: Dunder Mifflin Infinity (Episode 2);;Mac;00:19:53;Not latest view;US (United States)
Charlie;15/3/2013 18:54;00:41:34;;The Office (U.S.): Season 4: Fun Run (Episode 1);;Mac;00:41:37;Not latest view;US (United States)
Charlie;15/3/2013 17:37;00:20:45;;The Office (U.S.): Season 3: The Job (Episode 23);;Mac;00:41:55;Not latest view;US (United States)
Charlie;15/3/2013 06:03;00:21:11;;The Office (U.S.): Season 3: The Job (Episode 23);;Mac;00:21:13;Not latest view;US (United States)
Charlie;15/3/2013 05:35;00:27:39;;The Office (U.S.): Season 3: Beach Games (Episode 22);;Mac;00:27:38;Not latest view;US (United States)
Charlie;15/3/2013 05:01;00:28:35;;The Office (U.S.): Season 3: Women's Appreciation (Episode 21);;Mac;00:28:37;Not latest view;US (United States)
Charlie;15/3/2013 04:40;00:20:51;;The Office (U.S.): Season 3: Product Recall (Episode 20);;Mac;00:20:52;Not latest view;US (United States)
Charlie;15/3/2013 04:12;00:18:54;;The Office (U.S.): Season 3: Safety Training (Episode 19);;Mac;00:20:54;Not latest view;US (United States)
Charlie;15/3/2013 03:41;00:19:07;;Archer: Season 3: Heart of Archness, Part 2 (Episode 2);;Microsoft Xbox 360;00:19:08;Not latest view;US (United States)
Charlie;15/3/2013 03:19;00:21:20;;Archer: Season 3: Heart of Archness, Part 1 (Episode 1);;Microsoft Xbox 360;00:21:19;Not latest view;US (United States)
Charlie;15/3/2013 03:19;00:00:14;;Archer: Season 2: El Secuestro (Episode 10);;Microsoft Xbox 360;00:00:12;Not latest view;US (United States)
Charlie;15/3/2013 00:07;00:02:03;;The Office (U.S.): Season 3: Safety Training (Episode 19);;Apple iPhone 5 with CDMA;00:02:03;Not latest view;US (United States)
Charlie;14/3/2013 23:36;00:29:32;;The Office (U.S.): Season 3: The Negotiation (Episode 18);;Apple iPhone 5 with CDMA;00:29:32;Not latest view;US (United States)
Charlie;14/3/2013 23:35;00:00:03;;The Office (U.S.): Season 3: Cocktails (Episode 17);;Apple iPhone 5 with CDMA;00:00:04;Not latest view;US (United States)
Charlie;14/3/2013 23:34;00:01:14;;The Office (U.S.): Season 3: Cocktails (Episode 17);;Apple iPhone 5 with CDMA;00:21:19;Not latest view;US (United States)
Charlie;14/3/2013 23:12;00:20:06;;The Office (U.S.): Season 3: Cocktails (Episode 17);;Mac;00:20:05;Not latest view;US (United States)
Charlie;14/3/2013 05:33;00:21:12;;The Office (U.S.): Season 3: Business School (Episode 16);;Mac;00:21:14;Not latest view;US (United States)
Charlie;14/3/2013 05:12;00:20:42;;The Office (U.S.): Season 3: Phyllis's Wedding (Episode 15);;Mac;00:20:43;Not latest view;US (United States)
Charlie;14/3/2013 04:58;00:14:14;;The Office (U.S.): Season 3: Ben Franklin (Episode 14);;Mac;00:20:50;Not latest view;US (United States)
Charlie;14/3/2013 02:38;00:20:56;;Archer: Season 2: Placebo Effect (Episode 9);;Microsoft Xbox 360;00:20:56;Not latest view;US (United States)
Charlie;14/3/2013 02:30;00:08:10;;Archer: Season 2: Stage Two (Episode 8);;Microsoft Xbox 360;00:21:13;Not latest view;US (United States)
Charlie;14/3/2013 00:41;00:06:38;;The Office (U.S.): Season 3: Ben Franklin (Episode 14);;Mac;00:06:39;Not latest view;US (United States)
Charlie;13/3/2013 23:32;00:28:24;;The Office (U.S.): Season 3: The Return (Episode 13);;Mac;00:28:26;Not latest view;US (United States)
Charlie;13/3/2013 22:56;00:21:06;;The Office (U.S.): Season 3: Traveling Salesmen (Episode 12);;Mac;00:21:07;Not latest view;US (United States)
Charlie;13/3/2013 22:34;00:20:44;;The Office (U.S.): Season 3: Back from Vacation (Episode 11);;Mac;00:20:44;Not latest view;US (United States)
Charlie;13/3/2013 21:55;00:13:01;;The Office (U.S.): Season 3: A Benihana Christmas (Episode 10);;Mac;00:41:39;Not latest view;US (United States)
Charlie;13/3/2013 19:48;00:15:02;;The Office (U.S.): Season 3: A Benihana Christmas (Episode 10);;Mac;00:28:39;Not latest view;US (United States)
Charlie;13/3/2013 17:30;00:11:05;;The Office (U.S.): Season 3: A Benihana Christmas (Episode 10);;Mac;00:13:02;Not latest view;US (United States)
Charlie;13/3/2013 17:05;00:02:00;;The Office (U.S.): Season 3: A Benihana Christmas (Episode 10);;Apple iPhone 5 with CDMA;00:02:00;Not latest view;US (United States)
Charlie;13/3/2013 05:55;00:21:08;;The Office (U.S.): Season 3: The Convict (Episode 9);;Mac;00:21:09;Not latest view;US (United States)
Charlie;13/3/2013 05:26;00:29:28;;The Office (U.S.): Season 3: The Merger (Episode 8);;Mac;00:29:28;Not latest view;US (United States)
Charlie;13/3/2013 04:34;00:29:55;;The Office (U.S.): Season 3: Branch Closing (Episode 7);;Mac;00:29:55;Not latest view;US (United States)
Charlie;13/3/2013 04:13;00:20:55;;The Office (U.S.): Season 3: Diwali (Episode 6);;Mac;00:20:54;Not latest view;US (United States)
Charlie;13/3/2013 03:52;00:20:56;;The Office (U.S.): Season 3: Initiation (Episode 5);;Mac;00:20:57;Not latest view;US (United States)
Charlie;13/3/2013 03:46;00:05:24;;The Office (U.S.): Season 3: Grief Counseling (Episode 4);;Mac;00:20:45;Not latest view;US (United States)
Charlie;13/3/2013 02:31;00:05:37;;The Office (U.S.): Season 3: Grief Counseling (Episode 4);;Mac;00:15:21;Not latest view;US (United States)
Charlie;13/3/2013 01:15;00:00:09;;The Office (U.S.): Season 3: Grief Counseling (Episode 4);;Mac;00:09:45;Not latest view;US (United States)
Charlie;12/3/2013 23:55;00:09:37;;The Office (U.S.): Season 3: Grief Counseling (Episode 4);;Mac;00:09:38;Not latest view;US (United States)
Charlie;12/3/2013 23:44;00:10:42;;The Office (U.S.): Season 3: The Coup (Episode 3);;Mac;00:21:11;Not latest view;US (United States)
Charlie;12/3/2013 21:18;00:10:31;;The Office (U.S.): Season 3: The Coup (Episode 3);;Mac;00:10:32;Not latest view;US (United States)
Charlie;12/3/2013 20:58;00:10:11;;The Office (U.S.): Season 3: The Convention (Episode 2);;Mac;00:21:10;Not latest view;US (United States)
Charlie;12/3/2013 16:17;00:11:01;;The Office (U.S.): Season 3: The Convention (Episode 2);;Mac;00:11:02;Not latest view;US (United States)
Charlie;12/3/2013 15:55;00:21:40;;The Office (U.S.): Season 3: Gay Witch Hunt (Episode 1);;Mac;00:21:41;Not latest view;US (United States)
Charlie;12/3/2013 14:52;00:27:52;;The Office (U.S.): Season 2: Casino Night (Episode 22);;Mac;00:27:54;Not latest view;US (United States)
Charlie;12/3/2013 14:51;00:00:52;;The Office (U.S.): Season 2: Conflict Resolution (Episode 21);;Mac;00:00:52;Not latest view;US (United States)
Charlie;12/3/2013 14:28;00:20:47;;The Office (U.S.): Season 2: Conflict Resolution (Episode 21);;Apple iPhone 5 with CDMA;00:20:47;Not latest view;US (United States)
Charlie;12/3/2013 05:53;00:20:08;;The Office (U.S.): Season 2: Drug Testing (Episode 20);;Mac;00:20:08;Not latest view;US (United States)
Charlie;12/3/2013 05:32;00:20:39;;The Office (U.S.): Season 2: Michael's Birthday (Episode 19);;Mac;00:20:39;Not latest view;US (United States)
Charlie;12/3/2013 05:11;00:20:32;;The Office (U.S.): Season 2: Take Your Daughter to Work Day (Episode 18);;Mac;00:20:32;Not latest view;US (United States)
Charlie;12/3/2013 04:11;00:20:54;;The Office (U.S.): Season 2: Dwight's Speech (Episode 17);;Mac;00:20:52;Not latest view;US (United States)
Charlie;12/3/2013 03:50;00:20:55;;The Office (U.S.): Season 2: Valentine's Day (Episode 16);;Mac;00:20:54;Not latest view;US (United States)
Charlie;12/3/2013 03:28;00:21:06;;The Office (U.S.): Season 2: Boys and Girls (Episode 15);;Mac;00:21:06;Not latest view;US (United States)
Charlie;12/3/2013 03:08;00:20:43;;The Office (U.S.): Season 2: The Carpet (Episode 14);;Mac;00:20:43;Not latest view;US (United States)
Charlie;12/3/2013 02:56;00:11:11;;The Office (U.S.): Season 2: The Secret (Episode 13);;Mac;00:20:54;Not latest view;US (United States)
